2018-06-18 11:50:09,387 INFO   logging initialization
2018-06-18 11:50:20,963 INFO        代币符号:KCS, 24H涨跌幅:-2.46, 成交量:224033753, 全称:KuCoin Shares
2018-06-18 11:50:20,963 INFO        代币符号:KNC, 24H涨跌幅:-3.59, 成交量:129929515, 全称:Kyber Network
2018-06-18 11:50:20,963 INFO        代币符号:LA, 24H涨跌幅:-1.47, 成交量:10335334, 全称:LATOKEN
2018-06-18 11:50:20,963 INFO        代币符号:LRC, 24H涨跌幅:-3.61, 成交量:208598219, 全称:路印协议
2018-06-18 11:50:20,963 INFO        代币符号:MLN, 24H涨跌幅:-1.04, 成交量:19466114, 全称:Melon
2018-06-18 11:50:20,964 INFO        代币符号:MSP, 24H涨跌幅:1.37, 成交量:16917600, 全称:Mothership
2018-06-18 11:50:20,964 INFO        代币符号:NGC, 24H涨跌幅:-2.67, 成交量:22176167, 全称:NAGA
2018-06-18 11:50:20,964 INFO        代币符号:OAX, 24H涨跌幅:-2.85, 成交量:9316621, 全称:OAX
2018-06-18 11:50:20,965 INFO        代币符号:OKB, 24H涨跌幅:-2.046827, 成交量:1175676000, 全称:OKB
2018-06-18 11:50:20,965 INFO        代币符号:RNT, 24H涨跌幅:18.06, 成交量:17935934, 全称:OneRoot Network
2018-06-18 11:50:20,965 INFO        代币符号:OXY, 24H涨跌幅:-2.48, 成交量:10571708, 全称:Oxycoin
2018-06-18 11:50:20,965 INFO        代币符号:PFR, 24H涨跌幅:-10.5, 成交量:3180626, 全称:Payfair
2018-06-18 11:50:20,965 INFO        代币符号:PLAN, 24H涨跌幅:-1.71, 成交量:690285, 全称:Plancoin
2018-06-18 11:50:20,966 INFO        代币符号:POP, 24H涨跌幅:31.09, 成交量:983123, 全称:人气币
2018-06-18 11:50:20,966 INFO        代币符号:QASH, 24H涨跌幅:-2.12, 成交量:110446700, 全称:QASH
2018-06-18 11:50:20,966 INFO        代币符号:QVT, 24H涨跌幅:-7.97, 成交量:662727, 全称:Qvolta
2018-06-18 11:50:20,966 INFO        代币符号:REN, 24H涨跌幅:-1.03, 成交量:41174536, 全称:Republic Protocol
2018-06-18 11:50:20,967 INFO        代币符号:XRL, 24H涨跌幅:-3.59, 成交量:10680360, 全称:Rialto
2018-06-18 11:50:20,967 INFO        代币符号:RKT, 24H涨跌幅:0.87, 成交量:33716959, 全称:Rock
2018-06-18 11:50:20,968 INFO        代币符号:RKC, 24H涨跌幅:-2.93, 成交量:11843, 全称:Royal Kingdom Coin
2018-06-18 11:50:20,968 INFO        代币符号:STN, 24H涨跌幅:-9.72, 成交量:143458, 全称:Steneum Coin
2018-06-18 11:50:20,968 INFO        代币符号:SGR, 24H涨跌幅:-1.28, 成交量:278843, 全称:Sugar Exchange
2018-06-18 11:50:20,968 INFO        代币符号:SWFTC, 24H涨跌幅:-1.995173, 成交量:27586286, 全称:速币
2018-06-18 11:50:20,968 INFO        代币符号:TKN, 24H涨跌幅:-4.05, 成交量:27254072, 全称:TokenCard
2018-06-18 11:50:20,968 INFO        代币符号:TIO, 24H涨跌幅:2.46, 成交量:41204520, 全称:Trade Token
2018-06-18 11:50:20,969 INFO        代币符号:UP, 24H涨跌幅:-4.21, 成交量:8845562, 全称:UpToken
2018-06-18 11:50:20,969 INFO        代币符号:VCT, 24H涨跌幅:-1.94, 成交量:24966780, 全称:Value Cyber Token
2018-06-18 11:50:20,969 INFO        代币符号:WAND, 24H涨跌幅:-7.67, 成交量:1321987, 全称:WandX
2018-06-18 11:50:20,969 INFO   板块名称:人工智能, 24H涨跌幅:-2.6389289112, 成交量:553334207
2018-06-18 11:50:20,969 INFO        代币符号:AIT, 24H涨跌幅:-0.52, 成交量:11554185, 全称:AICHAIN
2018-06-18 11:50:20,969 INFO        代币符号:ACAT, 24H涨跌幅:-3.62, 成交量:13322731, 全称:Alphacat
2018-06-18 11:50:20,969 INFO        代币符号:ATN, 24H涨跌幅:-1.34, 成交量:25555046, 全称:ATN
2018-06-18 11:50:20,969 INFO        代币符号:BTO, 24H涨跌幅:-4.55, 成交量:64137605, 全称:铂链
2018-06-18 11:50:20,970 INFO        代币符号:CND, 24H涨跌幅:-2.1, 成交量:57683621, 全称:Cindicator
2018-06-18 11:50:20,970 INFO        代币符号:CTXC, 24H涨跌幅:-3.830468, 成交量:113248491, 全称:Cortex
2018-06-18 11:50:20,970 INFO        代币符号:DTA, 24H涨跌幅:-3.646198, 成交量:35359292, 全称:DATA
2018-06-18 11:50:20,971 INFO        代币符号:DBC, 24H涨跌幅:0.690183, 成交量:84299100, 全称:深脑链
2018-06-18 11:50:20,971 INFO        代币符号:MAN, 24H涨跌幅:-4.39, 成交量:70890300, 全称:Matrix AI Network
2018-06-18 11:50:20,972 INFO        代币符号:NTK, 24H涨跌幅:-4.64, 成交量:11421032, 全称:Neurotoken
2018-06-18 11:50:20,972 INFO        代币符号:AGI, 24H涨跌幅:-1.321905, 成交量:65862804, 全称:SingularityNET
2018-06-18 11:50:20,972 INFO   板块名称:任务众包, 24H涨跌幅:-3.5443398074, 成交量:123948173
2018-06-18 11:50:20,972 INFO        代币符号:BNTY, 24H涨跌幅:-4.85, 成交量:4718113, 全称:Bounty0x
2018-06-18 11:50:20,973 INFO        代币符号:BYC, 24H涨跌幅:-4.61, 成交量:1185569, 全称:Bytecent
2018-06-18 11:50:20,973 INFO        代币符号:CHAN, 24H涨跌幅:-2., 成交量:124457, 全称:ChanCoin
2018-06-18 11:50:20,973 INFO        代币符号:XP, 24H涨跌幅:-0.92, 成交量:20533290, 全称:Experience Points
2018-06-18 11:50:20,973 INFO        代币符号:GEO, 24H涨跌幅:-5.83, 成交量:2682090, 全称:GeoCoin
2018-06-18 11:50:20,973 INFO        代币符号:INCNT, 24H涨跌幅:-2.56, 成交量:7777588, 全称:Incent
2018-06-18 11:50:20,974 INFO        代币符号:STORM, 24H涨跌幅:-4.36, 成交量:86927066, 全称:Storm
2018-06-18 11:50:20,974 INFO   板块名称:体育, 24H涨跌幅:-4.5465224217, 成交量:174248494
2018-06-18 11:50:20,974 INFO        代币符号:SOC, 24H涨跌幅:-9.430149, 成交量:84396734, 全称:All Sports
2018-06-18 11:50:20,974 INFO        代币符号:ABY, 24H涨跌幅:-4.36, 成交量:3532893, 全称:ArtByte
2018-06-18 11:50:20,974 INFO        代币符号:ART, 24H涨跌幅:2.65, 成交量:17892124, 全称:Maecenas
2018-06-18 11:50:20,974 INFO        代币符号:NLC2, 24H涨跌幅:-4.49, 成交量:11610748, 全称:NoLimitCoin
2018-06-18 11:50:20,974 INFO        代币符号:SPF, 24H涨跌幅:-7.167953, 成交量:3767538, 全称:SportyCo
2018-06-18 11:50:20,975 INFO        代币符号:FUNK, 24H涨跌幅:5.68, 成交量:1138752, 全称:The Cypherfunks
2018-06-18 11:50:20,975 INFO        代币符号:VSC, 24H涨跌幅:-0.21, 成交量:20956170, 全称:体育币
2018-06-18 11:50:20,975 INFO        代币符号:WGR, 24H涨跌幅:-7.43, 成交量:30953535, 全称:Wagerr
2018-06-18 11:50:20,975 INFO   板块名称:侧链, 24H涨跌幅:-3.4934156988, 成交量:248154460
2018-06-18 11:50:20,975 INFO        代币符号:COVAL, 24H涨跌幅:-2.89, 成交量:4515260, 全称:Circuits of Value
2018-06-18 11:50:20,976 INFO        代币符号:CBT, 24H涨跌幅:-5.613817, 成交量:5348295, 全称:CommerceBlock
2018-06-18 11:50:20,976 INFO        代币符号:IGNIS, 24H涨跌幅:-1.46, 成交量:52485062, 全称:火链
2018-06-18 11:50:20,976 INFO        代币符号:LOOM, 24H涨跌幅:-1.76, 成交量:129328116, 全称:Loom Network
2018-06-18 11:50:20,976 INFO        代币符号:PR, 24H涨跌幅:0, 成交量:193768, 全称:Prototanium
2018-06-18 11:50:20,976 INFO        代币符号:RDN, 24H涨跌幅:-8.36, 成交量:41282563, 全称:雷电网络
2018-06-18 11:50:20,976 INFO        代币符号:SHIFT, 24H涨跌幅:-4.22, 成交量:15001396, 全称:Shift
2018-06-18 11:50:20,976 INFO   板块名称:借贷, 24H涨跌幅:-2.6189653465, 成交量:880868530
2018-06-18 11:50:20,976 INFO        代币符号:BLT, 24H涨跌幅:-4.33, 成交量:11333990, 全称:宝兰
2018-06-18 11:50:20,977 INFO        代币符号:CFI, 24H涨跌幅:-1.03, 成交量:12521600, 全称:Cofound.it
2018-06-18 11:50:20,977 INFO        代币符号:COSS, 24H涨跌幅:-2.16, 成交量:17113007, 全称:COSS
2018-06-18 11:50:20,977 INFO        代币符号:CRPT, 24H涨跌幅:-1.14, 成交量:47552005, 全称:Crypterium
2018-06-18 11:50:20,977 INFO        代币符号:DEB, 24H涨跌幅:-0.71, 成交量:5132255, 全称:Debitum
2018-06-18 11:50:20,978 INFO        代币符号:ELIX, 24H涨跌幅:0.51, 成交量:5544087, 全称:Elixir
2018-06-18 11:50:20,978 INFO        代币符号:LEND, 24H涨跌幅:-2.07, 成交量:34622016, 全称:ETHLend
2018-06-18 11:50:20,978 INFO        代币符号:EVX, 24H涨跌幅:-3.004139, 成交量:12038549, 全称:Everex
2018-06-18 11:50:20,978 INFO        代币符号:FTX, 24H涨跌幅:-4.84, 成交量:2934741, 全称:FintruX Network
2018-06-18 11:50:20,978 INFO        代币符号:FYN, 24H涨跌幅:0, 成交量:651352, 全称:FundYourselfNow
2018-06-18 11:50:20,978 INFO        代币符号:FSN, 24H涨跌幅:-8.05, 成交量:127103260, 全称:Fusion
2018-06-18 11:50:20,978 INFO        代币符号:HEAT, 24H涨跌幅:-1.13, 成交量:4936940, 全称:HEAT
2018-06-18 11:50:20,978 INFO        代币符号:ICOS, 24H涨跌幅:-11.7, 成交量:6501917, 全称:ICOS
2018-06-18 11:50:20,979 INFO        代币符号:KRM, 24H涨跌幅:-0.9, 成交量:17453899, 全称:Karma
2018-06-18 11:50:20,979 INFO        代币符号:KICK, 24H涨跌幅:-0.94, 成交量:22726414, 全称:KickCoin
2018-06-18 11:50:20,979 INFO        代币符号:LND, 24H涨跌幅:-2.52, 成交量:4499948, 全称:Lendingblock
2018-06-18 11:50:20,979 INFO        代币符号:MCAP, 24H涨跌幅:7.79, 成交量:595240, 全称:MCAP
2018-06-18 11:50:20,979 INFO        代币符号:AMM, 24H涨跌幅:5.878537, 成交量:1175974, 全称:MicroMoney
2018-06-18 11:50:20,979 INFO        代币符号:MDA, 24H涨跌幅:-4.06, 成交量:10383073, 全称:Moeda Loyalty Points
2018-06-18 11:50:20,979 INFO        代币符号:NEU, 24H涨跌幅:1.72, 成交量:9427508, 全称:Neumark
2018-06-18 11:50:20,980 INFO        代币符号:NEXO, 24H涨跌幅:-4.94, 成交量:73212721, 全称:Nexo
2018-06-18 11:50:20,980 INFO        代币符号:RCN, 24H涨跌幅:-5.04, 成交量:27863678, 全称:Ripio Credit Network
2018-06-18 11:50:20,980 INFO        代币符号:SALT, 24H涨跌幅:-5.285222, 成交量:68134957, 全称:SALT
2018-06-18 11:50:20,980 INFO        代币符号:STAR, 24H涨跌幅:-1.64, 成交量:4448569, 全称:Starbase
2018-06-18 11:50:20,980 INFO        代币符号:SUR, 24H涨跌幅:7.17, 成交量:578687, 全称:Suretly
2018-06-18 11:50:20,980 INFO        代币符号:UNIFY, 24H涨跌幅:6.34, 成交量:624140, 全称:Unify
2018-06-18 11:50:20,980 INFO        代币符号:WAVES, 24H涨跌幅:-1.08, 成交量:343184000, 全称:波币
2018-06-18 11:50:20,980 INFO        代币符号:WCT, 24H涨跌幅:-1.39, 成交量:5079204, 全称:Waves Community Token
2018-06-18 11:50:20,981 INFO        代币符号:ZLA, 24H涨跌幅:-1.935803, 成交量:3494799, 全称:Zilla
2018-06-18 11:50:20,982 INFO   板块名称:健康医疗, 24H涨跌幅:1.114343502, 成交量:292300599
2018-06-18 11:50:20,982 INFO        代币符号:AIDOC, 24H涨跌幅:-6.795374, 成交量:10133669, 全称:天医
2018-06-18 11:50:20,983 INFO        代币符号:BQ, 24H涨跌幅:34.92, 成交量:12878242, 全称:bitqy
2018-06-18 11:50:20,983 INFO        代币符号:AHT, 24H涨跌幅:14.72, 成交量:950528, 全称:Bowhead
2018-06-18 11:50:20,983 INFO        代币符号:CURE, 24H涨跌幅:-2.92, 成交量:4306717, 全称:Curecoin
2018-06-18 11:50:20,983 INFO        代币符号:DCN, 24H涨跌幅:2.3, 成交量:140760355, 全称:Dentacoin
2018-06-18 11:50:20,983 INFO        代币符号:DNA, 24H涨跌幅:-3.350838, 成交量:5192339, 全称:EncrypGen
2018-06-18 11:50:20,983 INFO        代币符号:FLDC, 24H涨跌幅:-5.97, 成交量:5439957, 全称:FoldingCoin
2018-06-18 11:50:20,983 INFO        代币符号:LYM, 24H涨跌幅:-4.63, 成交量:55742156, 全称:Lympo
2018-06-18 11:50:20,984 INFO        代币符号:MED, 24H涨跌幅:-6.18, 成交量:24939904, 全称:MediBloc
2018-06-18 11:50:20,985 INFO        代币符号:MTN, 24H涨跌幅:1.368643, 成交量:14481615, 全称:Medicalchain
2018-06-18 11:50:20,985 INFO        代币符号:MEDIC, 24H涨跌幅:1.5, 成交量:12743726, 全称:MedicCoin
2018-06-18 11:50:20,985 INFO        代币符号:PTOY, 24H涨跌幅:-5.69, 成交量:4731391, 全称:Patientory
2018-06-18 11:50:20,986 INFO   板块名称:公益环保, 24H涨跌幅:-4.2055469676, 成交量:114033515
2018-06-18 11:50:20,986 INFO        代币符号:AID, 24H涨跌幅:-0.840762, 成交量:4492784, 全称:AidCoin
2018-06-18 11:50:20,986 INFO        代币符号:BBP, 24H涨跌幅:-6.73, 成交量:1661548, 全称:圣经币
2018-06-18 11:50:20,986 INFO        代币符号:BRAT, 24H涨跌幅:-50.75, 成交量:41282, 全称:BROTHER
2018-06-18 11:50:20,986 INFO        代币符号:CARBON, 24H涨跌幅:-14.11, 成交量:1075230, 全称:Carboncoin
2018-06-18 11:50:20,986 INFO        代币符号:COLX, 24H涨跌幅:4.79, 成交量:17536089, 全称:ColossusXT
2018-06-18 11:50:20,986 INFO        代币符号:RAIN, 24H涨跌幅:-4.58, 成交量:1261499, 全称:Condensate
2018-06-18 11:50:20,987 INFO        代币符号:EDR, 24H涨跌幅:-2.74, 成交量:8668660, 全称:艾特币
2018-06-18 11:50:20,987 INFO        代币符号:ECOB, 24H涨跌幅:-0.74, 成交量:6678533, 全称:Ecobit
2018-06-18 11:50:20,987 INFO        代币符号:EMC2, 24H涨跌幅:-2.42, 成交量:30624961, 全称:锿币
2018-06-18 11:50:20,987 INFO        代币符号:MINT, 24H涨跌幅:-20., 成交量:3218371, 全称:薄荷币
2018-06-18 11:50:20,987 INFO        代币符号:PINK, 24H涨跌幅:-4.09, 成交量:5072599, 全称:代币
